Code,Parent,Name_de
"25602083","93290","Uhrmachergehilfe | Uhrmachergehilfin"
"25602085","73112","Zeigerrichter | Zeigerrichterin"
"25602086","73112","Kleber, Uhrenindustrie | Kleberin, Uhrenindustrie"
"25602087","73112","Uhrzeigerkleber | Uhrzeigerkleberin"
"25602088","73112","Kontrolleur, Uhrenindustrie | Kontrolleurin, Uhrenindustrie"
"25602089","73112","Uhrendekorateur | Uhrendekorateurin"
"25602090","73112","Zuschneider, Uhrenindustrie | Zuschneiderin, Uhrenindustrie"
"25602091","73112","Uhrenindustrieangestellter | Uhrenindustrieangestellte"
"25602092","73112","Cadranograf | Cadranografin"
"25602093","73112","Etampes-Macher | Etampes-Macherin"
"25602094","73112","Décalqueur | Décalqueuse"
"25602095","73112","Zifferblattzeichner | Zifferblattzeichnerin"
"25602097","73112","Uhrgehäusedreher, Metall und Stahl | Uhrgehäusedreherin, Metall und Stahl"
"25602099","73112","Uhrenkontrolleur | Uhrenkontrolleurin"
"25602100","73112","Uhrgehäusedreher | Uhrgehäusedreherin"
"25602101","73112","Zifferblattlackierer | Zifferblattlackiererin"
"25602103","73112","Etampenmacher | Etampenmacherin"
"25602104","73112","Bestandteilkontrolleur, Uhrenfabrik | Bestandteilkontrolleurin, Uhrenfabrik"
"25602105","73112","Uhrenziseleur | Uhrenziseleurin"
"25602106","73112","Emboîteur | Emboîteuse"
"25602107","73112","Schalendreher, Uhrenindustrie | Schalendreherin, Uhrenindustrie"
"25602108","73112","Uhrfedermacher | Uhrfedermacherin"
"25602109","73112","Steinsetzer (Uhrenindustrie) | Steinsetzerin (Uhrenindustrie)"
"25602110","73112","Räderwerkmonteur (Uhren) | Räderwerkmonteurin (Uhren)"
"25602111","73112","Rohwerkveredler | Rohwerkveredlerin"
"25602112","73112","Spiralenfinisseur | Spiralenfinisseurin"
"25602113","73112","Demonteur (Uhrenindustrie) | Demonteurin (Uhrenindustrie)"
"25602114","73112","Spiralenmacher (Uhrenindustrie) | Spiralenmacherin (Uhrenindustrie)"
"25602115","73112","Uhrschalenmonteur | Uhrschalenmonteurin"
"25602116","73112","Spiraleneinsetzer | Spiraleneinsetzerin"
"25602117","73112","Laufwerkmacher | Laufwerkmacherin"
"25602118","73112","Rohwerkarbeiter (Uhrenindustrie) | Rohwerkarbeiterin (Uhrenindustrie)"
"25602119","73112","Greneur | Greneuse"
"25602120","73112","Uhrglaseinpasser | Uhrglaseinpasserin"
"25602121","73111","Uhrwerkveredler | Uhrwerkveredlerin"
"25602122","73112","Glassetzer (in Uhrenfabrik) | Glassetzerin (in Uhrenfabrik)"
"25602123","81210","Fondeur (in Schalenfabrik) | Fondeuse (in Schalenfabrik)"
"25602124","73112","Cagearbeiter | Cagearbeiterin"
"25602125","73190","Lanternier | Lanternière"
"25602126","73112","Uhrrichter | Uhrrichterin"
"25602127","73112","Blanchisseur (Uhren) | Blanchisseurin (Uhren)"
"25602128","13210","Produktionschef Uhrenindustrie | Produktionschefin Uhrenindustrie"
"25602129","31220","Uhrenwerkstattchef | Uhrenwerkstattchefin"
"25602131","73111","Oberflächenveredler Uhren und Schmuck | Oberflächenveredlerin Uhren und Schmuck"
"25602133","73112","Pignonschneider | Pignonschneiderin"
"25602134","73112","Ebauchesarbeiter | Ebauchesarbeiterin"
"25602135","73112","Remonteur (Uhrenindustrie) | Remonteurin (Uhrenindustrie)"
"25602136","73112","Goldschalenmacher | Goldschalenmacherin"
"25602137","73112","Silberschalenmacher | Silberschalenmacherin"
"25602138","73111","Oberflächenveredler Uhren und Schmuck EFZ | Oberflächenveredlerin Uhren und Schmuck EFZ"
"25602139","73112","Uhrenarbeiter EBA | Uhrenarbeiterin EBA"
"25602140","73160","Pendülendekorateur | Pendülendekorateurin"
"25602141","73112","Uhrenkronenmonteur | Uhrenkronenmonteurin"
"25602142","73112","Zifferblattapplikensetzer | Zifferblattapplikensetzerin"
"25602145","73112","Uhrenfabrikarbeiter | Uhrenfabrikarbeiterin"
"25602146","73112","Uhrenschalenpolisseur | Uhrenschalenpolisseuse"
"25602147","73160","Pendülenmaler | Pendülenmalerin"
"25701001","72310","Fahrzeugkonstrukteur, eidg. FA | Fahrzeugkonstrukteurin, eidg. FA"
"25701002","72310","Autoschlosser | Autoschlosserin"
"25701003","72130","Flugzeugspengler | Flugzeugspenglerin"
"25701004","81420","Plastikbootbauer | Plastikbootbauerin"
"25701005","81420","Kunststoffbootbauer | Kunststoffbootbauerin"
"25701006","72130","Fahrzeugspengler | Fahrzeugspenglerin"
"25701007","72130","Fahrgestell-Handwerker | Fahrgestell-Handwerkerin"
"25701008","72130","Metallbearbeiter, Fahrzeugbau | Metallbearbeiterin, Fahrzeugbau"
"25701009","72130","Autospengler | Autospenglerin"
"25701010","72130","Karosserietechniker | Karosserietechnikerin"
"25701011","72330","Waggonschlosser | Waggonschlosserin"
"25701012","71154","Yachtbauer | Yachtbauerin"
"25701013","72310","Autoschmied | Autoschmiedin"
"25701014","13210","Karosserieschmiedmeister | Karosserieschmiedmeisterin"
"25701015","72330","Wagenschlosser | Wagenschlosserin"
"25701016","72310","Fahrzeugschlosser | Fahrzeugschlosserin"
"25701017","72130","Anhängerbauer | Anhängerbauerin"
"25701018","72320","Flugzeugbauer | Flugzeugbauerin"
"25701019","82110","Fahrzeugbauer | Fahrzeugbauerin"
"25701020","31151","Fahrzeugtechniker | Fahrzeugtechnikerin"
"25701021","72130","Carrosserie-Techniker | Carrosserie-Technikerin"
