Occupation,CH-ISCO-19
Quincaillerie-Handlg.,*
Quincailleriehandlung,*
Quincailleriehdl.,*
Quincailleriew.händl.,*
Quincaillh.,*
Quincaillhdl.,*
Quincaillhdlg.,*
Rathsschr.,*
Rechenm.,*
Rechtsag.,*
Rechtsagent,*
Redakt.,*
Redaktor,*
Reg.-R.,33102120
Reg.-Rath,33102120
Reg.-Statth.,*
Regensch.-Fabr.,*
Regierungsr.,33102120
Regierungsrath,33102120
Registr.,*
Registrator,*
Registrt.,*
Reliefkartenfabrikant,*
Rent.,*
Rent. u. Gutsbes.,*
Rentier,*
Rentiere,*
Revis.,*
Revisor,*
Revisor u. Not.,*
Rittm.,*
Rnt.,*
Roßhaarfabr.,*
Roßhaarfabrikant,*
Rot.,*
Rothfärb.,*
Rt.,*
Saager im Dalmazi,26101001
Saamenhandlg.,*
Sachw.,*
Sackträger,*
Sackzeich.,*
Sägenf.,*
Sägenfeiler,*
Salzverk.,*
Samenhändler,*
Samenhdl.,*
Sattelmacher,*
Sattl.,*
Sattl. u. Speisewirth,*
Sattler,*
Sattler u. Tapez.,*
Sattlrm.,*
Schätzerin,*
Schätz. u. Leichenbitterin,*
Schhm.,22302003
Schiff.,*
Schiffer,*
Schiffm.,*
Schiffmstr.,*
Schirmfab.,*
Schirmfabr.,*
Schirmfabrikant.,*
Schirmfb.,*
Schirmh.,*
Schirrmeister.,*
Schleif.,*
Schleifer,*
Schleifer u. Rasiermeshändl.,*
Schloss.,25308047
Schloß. u. Spez.,*
Schlosser,25308047
Schlosser.,25308047
Schlosserm.,25308022
Schlossermeister,25308022
Schlß.,25308047
Schlss.,25308047
Schlüsselwirth,*
Schmied,25305004
Schmied im Thiersptl.,25305004
Schmiedm.,25305086
Schmiedmeister,25305086
Schn.,22201006
Schnd.,22201006
Schnd. u. Sackzeich.,22201006
Schndr.,22201006
Schneid.,22201006
Schneider,22201006
Schneider.,22201006
Schneiderin,22201006
Schneiderin.,22201006
Schneiderinnen,22201006
Schneiderinnen u. Blumenhandl.,22201006
Schneidermeist.,22201070
Schneidr.,22201006
Schnitzl.,38403014
Schnitzler,38403014
Schr.,26105062
Schr. u. Küchliw.,26105062
Schrb.,33201078
Schreib- u. Zeichnungslehrer,44604017
Schreib.,33201078
Schreibbücherfabr.,33101059
Schreiber,33201078
Schreibr.,*
Schrein.,26105062
Schrein. u. Möbelhdl.,31109078
Schreiner,26105062
Schreiner u. Speisew.,26105062
Schriftgieß.,27101041
Schrifts.,27101001
Schriftsetzer,27101001
Schriftsetzer und Faktor,27101001
Schrn.,26105062
Schrn. u. Glas.,26105062
Schrnrm.,26105009
Schröpf.,42207004
Schröpferin,42207004
Schuhflicker,22302003
Schuhhändler,31109056
Schuhhdl.,31109056
Schuhm.,22302003
Schuhmach.,22302003
Schuhmacher,22302003
Schuhmacher.,22302003
Schuhmacherwerkzm.,*
Schulabw.,41103054
Schulinspektor,33102005
Schulvorsteher,33102137
Schuster,22302007
Schwarzwälderuhren-Fabrikant,*
Schweinm.,*
Schweinmetzg.,*
Schweinmetzg. u. Speisew.,*
Schweinmetzger und Wirth,*
Schweinmtz.,*
Schwellenmeister,*
Schwnm.,*
Sdr.,*
Seckelm.,*
Sefr.,*
Seiden-Negt.,*
Seidenwb.,*
Seil.,22104014
Seiler,22104014
Sekr.,*
Sekr. d. Direkt. d. Innern,*
Sekr. d. Tel.-Direkt.,*
Sekr. der Evang. Gesellschaft,*
Sekretär,*
Sekretär der burgl. Feld- und Forstcomm.,*
Sesselfl.,*
Sesselflcht.,*
Sesselm.,*
Sesselmach.,*
Siebmach.,*
Siebmacher,*
Siegr. z. Hl. Geist,*
Sigrist a. Münster,*
Silberarb.,*
Silberarbeiter,*
Silberarbeiter u. Graveur,*
Silberschmied,*
Souffleur,*
Spanner,*
Speisew.,*
Speisew. u. Bierbr.,*
Speisewirth,*
Speisewirth (Zaar),*
Speisewirth u. Sattler,*
Speisewirthin,*
Spengl.,*
Spengler,*
Spez.,*
Spez. u. Briefträger,*
Spezier.,*
Spezierer,*
Speziererin,*
Spgl.,*
Spiegelhdl.,*
Spielkartenfabrikant,*
Spielwaarenhandlung,*
Spigenmach.,*
Spitaleinzieher,*
Spitalprediger,*
Spitalverwalt.,*
Splwrnhdl.,*
Sprachl.,44702002
Sprachleh.,44702002
Sprachlehrer,44702002
Sprachlehrerin,44702002
Spsw.,*
Staatsapotheker,*
Staatskassier,*
Stadtbannwart,*
Stadtbuchhalt.,*
Stadtforstmstr.,*
Stadtobförst.,*
Standeswbl.,*
Steinbrech.,*
Steinbrecher,*
Steindr.,*
Steindruck.,*
Steindrucker,*
Steinh.,*
Steinhauer,*
Stempelverwalter,*
Sternenwirth,*
Storchenw.,*
Straßenpflasterer,*
Strickwaarenhandlung,*
Strickwhdl.,*
Strohflech.,*
Strohhfb.,*
Strohhutfabr.,*
Strohhutfabrikant,*
Strumpfstuhlschlssr.,*
Strumpfw.,*
Strumpfw. und Wollenhandlung,*
Strumpfwb.,*
Strumpfwb. u. Negot.,*
Strumpfweber u. Negt.,*
Stubenschreiber,*
Stubrch.,*
Subst.,*
